0.3474115,0.1979488,20­ÓÅÜ¼Æ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
train.error,test.error,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50
0.407513964,0.121118019,640,596,785,890,49,856,514,885,772,614,567,22,369,623,541,437,274,235,373,642,407,644,244,67,408,743,226,206,445,554,708,398,390,348,759,767,38,784,628,14,270,301,898,509,803,278,233,236,519,716
0.407079282,0.060316047,332,60,845,550,611,305,812,857,299,530,289,463,331,737,406,473,284,865,830,293,842,684,280,837,497,881,98,791,442,755,825,628,80,274,798,470,498,802,453,641,867,376,835,383,353,843,355,672,813,457
0.406141266,0.159907858,249,661,558,235,851,850,204,761,471,535,537,290,699,243,419,770,865,278,448,59,616,403,751,218,370,479,217,377,843,203,8,228,722,766,494,580,745,318,609,216,846,326,88,225,813,700,834,364,478,708
0.406141266,0.142619789,643,408,578,448,667,11,523,232,692,277,31,535,30,700,391,468,454,842,51,663,771,266,431,70,822,42,855,860,77,630,373,376,538,401,282,393,227,710,868,339,600,67,833,837,505,410,715,808,518,612
0.404651722,0.079464045,605,541,636,696,433,778,423,641,850,442,526,601,2,56,406,256,589,808,789,629,359,811,38,447,421,470,39,498,485,1,410,578,340,692,882,746,747,207,822,866,271,763,36,337,581,831,734,643,595,418
0.404036778,0.147980191,349,767,587,690,617,879,519,472,324,321,815,788,82,29,285,268,421,284,670,612,760,611,744,288,742,574,721,90,281,384,226,36,699,314,339,311,350,459,642,731,861,366,585,492,224,688,289,241,854,390
0.404036778,0.125740101,820,679,610,733,392,712,246,383,18,362,750,253,556,255,569,850,313,744,53,490,243,533,83,633,670,669,45,889,314,276,217,501,848,729,650,873,208,87,869,675,844,722,410,305,14,706,737,563,7,645
0.403069354,0.14094313,3,605,848,466,857,482,854,827,15,730,321,540,554,684,585,683,798,399,418,825,512,46,633,288,527,1,559,505,717,506,748,226,266,56,539,290,780,824,333,477,413,252,329,18,293,814,248,40,50,289
0.403069354,0.125740101,634,696,688,842,881,743,806,772,324,38,413,722,537,581,856,494,725,868,455,654,252,759,368,332,587,737,374,596,88,436,459,236,782,600,604,452,828,389,52,215,460,557,301,756,322,31,666,869,44,233
0.403069354,0.082775389,308,689,241,221,744,29,311,208,602,884,851,28,530,832,209,429,524,501,398,278,335,314,785,65,471,843,575,598,49,694,857,370,555,616,268,279,325,858,265,608,337,416,715,706,1,90,210,461,730,781
0.402166437,0.104695341,525,807,452,851,251,621,288,407,710,478,630,14,764,544,744,347,325,486,875,301,265,791,464,303,726,492,836,788,413,813,467,61,382,893,720,473,739,385,271,245,312,865,440,282,785,435,74,534,368,771
0.402166437,0.108884306,316,440,283,274,873,80,331,31,77,645,436,707,355,886,681,761,613,78,207,769,555,369,703,206,367,459,218,12,62,368,300,807,722,41,538,210,221,854,855,53,271,537,263,678,426,690,844,738,317,516
0.402162598,0.145579366,319,821,851,724,817,290,435,470,858,57,639,550,98,62,844,788,285,837,791,701,526,314,896,871,90,725,593,564,540,530,210,823,247,486,822,80,520,317,657,376,381,551,762,781,664,72,5,558,570,826
0.402162598,0.161000444,238,65,624,626,79,387,661,473,603,750,683,645,475,659,888,308,709,733,729,838,294,458,844,508,705,752,788,410,518,860,701,250,519,773,43,340,290,611,790,577,853,707,304,876,434,409,427,344,488,824
0.401886592,0.181584015,607,383,690,865,360,264,510,672,304,602,768,539,858,649,470,396,467,492,471,343,345,837,794,789,450,866,506,374,365,752,358,303,429,211,621,547,247,780,38,829,262,705,302,855,209,639,835,36,310,339
0.401801594,0.136705662,854,7,691,433,61,856,580,566,569,414,442,251,853,340,785,808,362,321,627,278,738,286,780,761,298,844,848,583,346,600,95,234,21,245,879,829,822,899,404,80,325,215,52,509,653,296,528,863,81,584
0.401334927,0.108317253,858,65,783,821,431,461,332,585,528,813,245,712,831,851,885,5,252,812,341,843,752,672,774,722,335,217,670,736,572,879,860,403,567,681,840,611,514,357,749,7,53,438,604,636,677,865,872,424,93,253
0.401060378,0.10666548,831,755,800,796,509,732,774,638,684,602,594,702,562,236,811,788,318,519,331,450,574,427,219,750,481,859,258,836,817,846,294,845,60,270,415,630,301,592,829,893,354,701,815,416,609,849,282,843,505,844
0.401060378,0.136600044,386,218,217,844,414,335,785,9,255,657,669,614,227,670,513,633,297,585,67,677,226,787,646,239,37,279,466,731,519,635,809,204,893,431,741,378,287,402,403,547,815,221,874,642,645,784,701,856,69,749
0.400582609,0.097395945,686,616,254,542,739,335,611,847,307,434,886,822,62,700,97,675,71,693,742,482,585,538,818,380,456,652,767,282,637,546,494,788,750,14,460,865,428,523,499,324,678,842,761,404,854,406,371,719,222,439
0.400011524,0.091443697,368,688,335,393,344,410,220,793,723,478,703,772,43,408,863,397,577,838,34,763,816,434,336,58,657,282,224,372,212,494,414,754,883,487,491,497,313,614,876,857,350,516,680,420,671,759,223,361,467,266
0.400011524,0.135775014,42,699,548,823,245,673,761,63,365,616,760,34,379,89,624,18,22,822,512,466,853,725,475,226,816,219,297,215,852,224,493,792,455,621,343,583,498,86,762,865,284,559,16,268,339,308,80,600,278,296
0.400011524,0.170471152,746,629,499,725,752,603,380,889,542,385,679,401,639,360,739,592,206,422,317,94,40,891,310,323,745,452,23,258,790,838,63,806,208,286,392,521,34,636,77,583,796,512,61,630,886,462,598,440,852,51
0.39932299,0.118139209,706,724,709,621,532,277,475,1,683,27,534,733,473,805,687,897,870,753,745,504,474,517,365,861,651,410,535,86,684,316,602,594,768,801,466,717,851,463,338,368,238,501,757,714,644,585,760,542,281,503
0.399021658,0.146586005,620,430,829,709,391,861,823,712,591,301,652,735,788,716,561,298,782,314,315,821,445,587,817,436,334,41,583,263,888,389,654,850,884,740,407,13,520,229,573,701,23,38,359,696,613,310,244,749,40,480
0.39889516,0.079880109,270,303,380,607,854,205,743,315,489,821,492,511,579,249,24,646,272,42,894,504,97,562,837,804,819,324,674,888,719,782,40,7,499,777,695,770,325,411,372,397,35,17,436,524,254,204,516,885,299,61
0.398147717,0.103245521,419,45,854,514,541,841,351,723,770,641,587,583,454,873,843,301,20,580,613,205,357,895,653,614,836,796,399,888,447,56,654,774,277,713,783,747,596,633,735,307,812,252,250,578,849,298,700,368,10,270
0.398147717,0.095593563,493,257,828,312,449,338,578,750,620,377,540,865,534,885,352,551,573,794,826,827,284,334,801,441,855,666,58,582,354,230,232,370,500,408,207,242,532,84,31,852,373,494,307,715,834,869,513,407,91,419
0.398147717,0.148067493,343,628,515,760,328,454,886,388,568,769,318,394,74,390,549,692,442,721,368,367,734,271,755,201,519,474,218,296,480,837,856,677,896,857,281,479,349,309,622,338,582,831,413,21,854,471,834,75,391,548
0.398147717,0.145579366,284,873,88,319,442,69,867,654,82,499,204,86,21,492,11,514,335,494,290,369,328,94,734,553,43,401,700,63,485,879,225,61,841,393,788,860,240,897,234,470,479,394,593,416,74,87,683,330,41,851
0.397826848,0.152515511,3,752,11,361,519,898,539,708,523,94,608,766,339,688,803,660,85,287,303,269,257,877,730,737,527,372,793,497,355,341,687,855,356,500,412,582,849,604,546,836,483,315,600,210,712,275,17,329,574,672
0.397244965,0.14422623,647,797,651,93,256,467,263,569,397,213,76,655,61,286,854,724,404,864,75,555,469,336,86,545,714,595,342,636,621,685,748,886,622,54,874,78,830,671,216,335,790,236,310,407,815,250,201,483,55,532
0.397244965,0.081140445,691,796,589,477,532,637,654,756,476,665,580,461,378,855,55,787,786,342,16,576,586,251,224,627,50,725,11,851,482,75,827,18,838,491,887,516,284,271,534,814,369,506,326,792,254,335,847,78,494,632
0.39702111,0.126495704,569,8,335,322,747,308,675,818,851,58,696,327,79,850,427,458,861,558,852,695,657,876,494,481,604,744,474,750,497,509,537,285,774,602,470,842,452,575,397,6,813,868,529,238,783,64,779,771,644,525
0.396473307,0.146802786,504,523,616,879,538,215,832,815,570,508,825,58,549,290,614,711,851,864,413,770,510,474,300,641,431,45,16,732,481,734,256,344,13,260,526,606,768,662,617,65,845,521,325,77,53,886,807,555,531,55
0.395948325,0.149435598,774,85,563,735,397,420,647,230,227,828,300,247,871,418,791,570,796,818,851,245,558,862,756,546,229,4,750,241,622,318,353,780,91,618,696,605,560,723,83,373,82,286,462,246,25,267,220,635,808,777
0.395948325,0.093773294,17,887,33,335,397,529,379,565,552,326,509,687,838,321,83,482,861,589,71,385,805,415,808,896,759,602,496,703,785,815,869,855,475,434,570,447,770,268,878,305,668,262,572,564,737,218,848,282,673,378
0.395948325,0.102950532,782,854,273,670,807,233,434,743,681,282,625,431,319,352,243,98,738,741,39,805,897,715,849,69,48,95,70,488,348,579,585,78,523,277,801,668,349,562,364,898,848,719,335,238,880,787,68,828,735,756
0.39545768,0.116094552,672,264,488,782,803,679,4,325,666,291,706,91,372,276,787,338,85,891,853,228,693,854,445,572,30,292,810,427,55,660,612,729,392,254,213,642,480,441,856,562,393,205,259,474,71,443,278,219,845,361
0.394935142,0.142603032,59,826,707,756,851,686,261,14,870,308,87,507,671,466,9,771,290,889,81,628,520,399,232,566,393,484,874,783,727,236,685,675,880,70,641,94,689,428,7,740,796,478,890,683,663,432,431,471,691,321
0.394935142,0.091289344,853,653,81,543,775,71,763,418,63,47,16,248,542,323,888,423,818,752,747,319,292,600,347,383,349,549,210,685,852,56,335,254,87,64,687,430,745,558,340,562,531,463,260,715,61,41,315,300,380,262
0.394095665,0.124499722,219,665,297,315,888,298,753,85,623,248,252,58,557,354,305,376,834,852,338,440,392,460,464,423,347,22,745,54,711,554,82,628,608,847,747,480,358,879,583,33,280,405,830,734,341,287,575,728,218,672
0.394095665,0.099639105,424,567,97,14,691,379,301,647,862,203,573,345,529,90,15,86,641,636,26,730,764,842,884,678,516,741,475,720,284,209,777,41,374,808,446,263,323,851,790,77,893,789,84,261,650,320,558,854,410,791
0.393988071,0.101870483,878,348,728,26,80,79,804,886,489,390,483,269,3,384,800,28,685,324,522,641,807,344,92,694,403,783,330,63,635,357,666,756,857,497,547,725,815,422,845,52,700,233,275,720,858,520,204,665,523,260
0.393988071,0.11343591,251,782,621,672,431,610,825,784,289,422,866,254,226,405,250,391,797,237,224,328,402,335,1,82,222,529,278,602,11,2,14,865,763,617,850,71,32,259,68,849,727,783,856,568,485,787,80,887,693,13
0.393988071,0.061252223,377,237,37,76,389,851,797,99,294,829,896,333,551,77,387,614,460,481,494,696,701,24,316,503,548,2,80,764,571,84,65,782,90,75,837,736,458,14,766,849,34,569,12,214,815,18,93,526,221,802
0.393988071,0.119235264,277,793,400,762,872,859,853,886,243,206,205,592,314,212,30,797,885,530,784,207,575,548,407,25,814,221,69,53,757,70,244,600,327,252,97,778,230,813,682,422,475,33,50,566,639,801,231,284,604,360
0.393816684,0.139451895,597,558,590,303,684,761,297,10,618,850,812,39,426,844,886,881,515,249,572,436,471,275,88,210,494,643,884,710,525,472,655,282,451,80,795,333,853,593,802,814,839,549,856,410,365,726,285,212,337,449
0.393816684,0.111377894,567,363,330,579,291,510,896,275,756,209,378,409,221,511,280,455,59,270,205,301,14,758,769,398,849,679,543,244,858,657,384,854,766,266,26,792,870,422,519,492,827,895,592,318,615,354,880,310,632,482
0.393114459,0.145470292,571,503,703,267,71,616,661,402,611,627,804,771,750,528,514,825,885,731,884,386,338,589,852,213,517,306,322,837,15,412,788,863,23,362,604,373,581,723,774,609,687,895,355,480,875,492,734,324,346,783
0.392943765,0.075031111,716,245,477,817,229,831,396,866,254,387,210,66,486,772,464,559,804,677,282,382,852,637,828,787,341,704,39,86,859,807,283,99,322,721,224,517,17,440,256,665,352,296,581,311,730,309,503,363,555,724
0.392943765,0.129983459,414,533,316,743,784,230,544,470,539,469,662,809,631,675,851,676,522,759,602,672,768,410,657,220,787,393,239,496,752,472,778,85,344,304,892,634,849,343,201,651,704,297,17,400,555,858,476,465,771,729
0.392504714,0.096913514,518,859,441,439,852,460,761,238,839,293,360,755,614,12,745,91,80,472,283,84,212,542,387,473,541,38,215,730,225,55,239,613,470,623,716,699,493,267,237,292,874,660,419,618,654,481,685,14,897,336
0.392504714,0.12018164,885,469,644,545,726,485,363,312,794,479,40,274,854,51,78,664,70,482,321,532,856,330,616,327,201,93,531,95,533,770,59,349,559,528,355,586,301,764,749,432,19,700,333,597,32,556,361,584,716,28
0.392322629,0.077644792,300,253,683,729,898,611,341,865,677,372,732,365,727,874,47,325,66,549,661,598,17,771,263,800,667,437,860,480,891,493,331,383,854,377,227,267,514,96,806,777,747,78,90,500,226,273,752,491,280,843
0.392322629,0.157735716,520,530,607,662,831,741,838,215,86,884,322,431,512,277,828,264,778,351,554,710,793,774,583,63,287,14,734,887,218,588,83,886,858,369,292,763,472,535,890,15,23,668,206,337,406,338,770,441,482,474
0.392322629,0.13294723,785,329,769,504,310,75,640,240,675,393,783,32,207,330,271,28,233,412,535,206,221,798,541,752,448,622,404,506,854,551,418,307,580,677,587,755,301,683,493,262,505,277,885,357,60,560,700,865,897,82
0.391846132,0.119235264,647,296,460,284,787,348,59,760,792,211,353,567,225,621,513,290,764,639,661,60,854,733,524,435,278,603,836,852,690,467,37,766,651,784,622,451,325,775,763,356,38,417,386,50,424,686,800,323,246,696
0.391846132,0.125740101,607,355,293,402,381,338,282,540,247,5,392,794,344,462,439,423,856,212,421,287,202,350,556,615,791,54,832,679,899,268,403,351,473,750,438,489,863,333,38,898,98,642,548,510,424,535,357,761,878,422
0.391846132,0.085410155,398,757,649,232,547,388,368,798,849,700,345,458,666,746,358,861,38,331,349,215,204,291,853,851,422,874,676,17,489,429,847,469,737,431,49,78,430,565,60,226,777,351,257,693,283,306,320,465,293,740
0.391232861,0.094180081,27,652,570,37,541,303,32,301,582,583,584,559,260,695,11,625,400,657,752,870,533,790,646,315,746,512,670,302,539,764,93,282,526,859,28,852,715,492,340,359,631,628,808,402,84,483,344,220,488,270
0.391232861,0.133859116,398,435,696,846,49,285,417,305,730,790,598,853,584,799,545,655,324,226,303,628,259,669,362,893,284,292,217,593,446,521,581,880,634,509,68,663,30,300,648,461,476,559,3,432,865,884,212,859,272,464
0.391146128,0.189015389,420,431,503,415,620,707,429,539,351,534,290,410,213,650,889,20,599,330,882,797,885,72,854,399,88,849,464,546,66,47,713,259,501,87,548,621,236,262,863,810,838,394,652,288,701,865,355,858,635,7
0.391146128,0.100507323,611,596,621,861,486,604,337,567,211,487,506,623,385,65,357,17,689,622,89,535,28,205,697,209,461,733,782,6,459,642,856,244,14,50,544,552,711,825,854,688,358,824,834,78,367,649,829,685,325,327
0.391023511,0.143891454,543,607,830,396,715,405,78,631,329,694,33,316,87,365,513,762,383,821,406,245,858,594,273,677,735,437,343,737,582,589,289,803,692,455,656,527,445,339,884,819,565,47,827,522,768,691,379,43,713,354
0.391023511,0.149435598,235,485,568,303,584,899,419,699,411,232,225,583,683,745,62,886,360,498,856,454,689,324,356,277,306,510,551,630,296,607,286,835,799,51,255,788,778,77,580,723,291,47,81,248,439,383,612,299,89,553
0.391023511,0.098923674,765,401,856,649,757,256,78,202,726,884,738,807,555,451,20,880,693,467,820,871,522,98,841,414,31,422,26,858,222,434,380,363,335,586,695,615,525,658,843,82,773,314,19,873,259,801,864,484,727,439
0.390808711,0.093773294,14,332,798,737,349,475,732,683,371,630,542,284,535,7,744,345,480,408,618,678,838,633,483,447,319,730,867,709,536,427,749,461,493,69,205,862,32,292,698,804,312,738,604,735,852,629,583,353,558,641
0.390808711,0.089495413,611,232,275,318,280,516,886,345,585,754,811,774,494,629,767,259,362,756,387,833,363,810,478,316,425,9,857,477,311,239,400,892,738,505,692,285,479,334,281,553,849,78,601,595,742,33,690,497,848,398
0.390808711,0.103245521,658,751,474,81,237,719,78,557,53,492,272,214,208,542,769,380,47,685,238,734,18,497,742,835,529,854,327,414,293,37,30,732,600,294,859,220,495,837,767,11,65,41,334,886,445,868,416,259,525,711
0.390005443,0.126612711,866,521,764,254,276,297,839,492,78,383,853,359,90,240,536,64,72,513,895,813,523,220,639,465,865,57,95,237,442,602,823,848,581,215,573,431,676,626,379,357,351,381,280,421,840,87,679,361,830,606
0.390005443,0.126830211,850,487,455,593,352,722,864,245,16,297,766,859,716,732,457,485,208,756,669,834,767,548,313,532,50,287,883,312,675,41,647,414,519,759,803,575,358,689,704,658,83,681,480,285,643,563,588,289,667,410
0.389994727,0.148501391,510,767,812,456,338,65,321,31,468,260,284,319,845,235,204,811,366,837,849,253,851,283,355,73,862,389,459,635,10,513,437,24,419,872,432,248,393,589,860,776,216,238,577,683,546,665,824,803,337,297
0.389838209,0.059739608,502,854,365,797,756,416,56,355,576,617,16,784,490,671,39,675,655,830,839,838,406,403,202,279,894,744,485,63,423,828,431,320,734,82,780,57,779,296,865,751,459,287,340,535,660,6,677,669,518,405
0.389838209,0.080165137,283,343,506,590,90,833,260,488,429,276,735,4,449,718,760,98,363,895,379,493,732,707,625,848,214,220,403,536,852,862,535,430,279,29,606,57,216,711,425,591,210,871,69,52,727,743,13,208,72,811
0.389838209,0.128915627,228,880,767,84,577,221,786,694,282,243,36,638,87,573,782,423,766,264,292,832,299,494,312,740,510,304,386,9,860,810,530,857,481,266,426,750,795,597,884,280,256,428,805,744,821,885,601,518,279,613
0.389838209,0.062229799,465,841,260,11,899,777,28,643,378,292,12,772,315,663,205,620,455,760,86,796,672,849,289,780,427,545,581,32,896,386,833,887,448,850,15,67,279,726,762,282,673,778,74,610,59,876,456,2,226,277
0.389770194,0.160172134,50,860,608,204,788,787,346,495,239,339,454,812,580,718,370,763,36,253,611,400,259,62,713,695,539,879,798,73,492,882,484,752,625,11,813,629,426,579,747,293,242,637,443,853,359,714,483,817,446,586
0.389770194,0.125345162,280,696,379,53,859,267,468,257,526,714,726,371,775,55,749,707,704,765,360,758,457,863,892,682,228,731,261,46,249,875,467,439,489,372,482,588,670,82,271,63,395,584,516,790,626,286,677,603,350,398
0.388942209,0.126612711,429,708,507,531,225,842,799,568,17,69,884,815,521,202,778,449,589,768,845,753,454,344,687,45,432,854,555,11,288,838,562,248,771,509,859,55,266,489,228,448,310,758,356,637,270,729,781,665,201,716
0.388827295,0.153377815,361,411,346,644,36,249,615,44,577,281,822,224,546,321,798,387,269,482,412,519,543,72,372,619,754,290,759,640,562,89,97,725,895,76,522,855,527,587,389,867,784,776,630,732,505,12,327,831,328,680
0.388827295,0.090993693,665,670,757,857,587,774,854,689,487,32,810,325,495,602,302,819,821,235,210,707,224,25,268,293,37,509,738,637,653,259,772,291,490,668,483,664,894,467,870,334,292,522,585,68,294,777,658,864,390,508
0.388827295,0.082492331,575,841,747,15,777,652,884,246,799,782,203,589,692,418,853,375,721,628,526,742,844,655,12,816,414,373,893,241,872,825,262,667,443,334,277,70,525,534,822,484,790,851,331,535,325,687,540,727,489,539
0.388430486,0.101870483,301,862,534,541,535,763,73,1,758,87,452,257,784,240,274,564,781,599,80,379,406,548,9,4,746,500,358,371,795,405,595,801,325,654,36,853,444,637,747,695,217,586,91,854,324,376,336,85,378,594
0.388129325,0.120803554,490,450,885,602,269,477,253,498,842,866,464,384,865,810,859,428,321,611,434,414,380,77,750,826,673,47,768,880,354,402,33,467,891,495,500,362,618,862,538,299,614,775,647,740,832,50,689,736,338,767
0.387703848,0.099639105,8,284,520,852,481,485,559,442,790,748,232,24,861,832,370,56,664,514,687,730,575,814,889,505,744,422,513,668,825,283,836,583,60,554,453,209,859,206,542,341,460,877,650,90,890,660,671,235,736,38
0.387703848,0.091468403,218,661,379,748,853,548,702,224,201,87,692,358,426,680,521,222,221,18,877,878,815,32,897,391,864,390,88,420,468,794,730,746,267,639,410,408,507,421,276,66,596,264,763,857,495,247,616,873,296,603
0.387703848,0.087301818,622,503,319,243,230,494,447,308,857,361,98,761,637,697,596,451,297,401,588,20,759,603,7,662,85,48,887,717,842,863,601,10,399,529,92,467,393,363,833,501,489,49,633,241,640,510,250,325,239,531
0.387703848,0.094180081,385,685,791,81,47,328,586,729,462,595,553,518,312,847,62,782,450,475,891,433,584,852,865,712,497,343,674,524,593,759,20,558,861,329,486,27,574,730,235,699,672,263,774,89,214,796,213,816,456,78
0.387409369,0.123614435,785,9,542,857,488,75,483,574,891,868,375,535,620,373,327,613,792,736,598,463,643,756,623,391,273,386,339,878,22,505,29,331,719,699,380,695,838,277,826,374,672,629,730,455,882,508,778,340,382,253
0.387409369,0.139625223,648,772,747,860,385,646,56,623,795,668,393,820,726,475,378,765,419,853,413,818,284,769,426,704,308,782,678,451,776,570,614,892,231,556,408,884,774,789,300,844,601,708,221,409,5,674,87,203,30,740
0.387130951,0.14094313,883,638,713,48,12,564,371,356,550,398,24,600,94,297,552,848,863,448,655,66,791,47,85,749,43,735,27,449,853,253,777,273,674,78,536,383,705,811,578,444,786,446,1,858,759,477,9,574,545,502
0.386793572,0.103360526,884,96,516,695,623,408,35,787,789,873,234,255,386,238,494,289,483,230,477,274,461,856,723,532,216,57,821,314,773,228,85,641,784,640,506,359,790,847,717,590,227,38,409,692,592,826,558,222,599,727
0.386793572,0.057359457,425,775,699,242,6,58,808,832,395,436,544,463,770,304,272,715,675,210,583,812,537,549,641,1,885,764,850,797,706,72,9,722,65,243,219,462,64,899,471,615,639,256,773,437,306,794,788,678,68,59
0.386793572,0.134943034,741,272,885,721,381,859,690,419,31,97,370,752,85,224,58,424,578,847,614,797,798,527,327,592,879,21,460,803,95,783,588,514,313,839,450,880,329,374,564,316,266,432,700,498,538,683,467,822,366,91
0.386641215,0.132546574,783,786,299,773,650,775,776,623,726,653,429,852,710,48,592,565,617,289,33,688,436,894,404,96,845,241,36,13,232,264,864,376,410,698,77,46,836,85,238,297,464,353,206,393,815,657,681,418,739,828
